2024-02-10 16:27:13.7409|0|INFO|Program|Program initial |url: |action: |Program.<Main>$| body: 
2024-02-10 16:27:14.8867|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5219 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync| body: 
2024-02-10 16:27:14.8867|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2024-02-10 16:27:14.8867|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2024-02-10 16:27:14.8867|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\5Sem\LuxeLooks\LuxeLooks\LuxeLooks\LuxeLooks |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2024-02-10 16:28:52.1539|0|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Account/Login|action: |Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware.TryGetHttpsPort| body: 
2024-02-10 16:28:57.5729|0|ERROR|LuxeLooks.Service.Services.RoleService|Role with id: 44546e06-8719-4ad8-b88a-f271ae9d6abe not found |url: http://localhost/Account/Login|action: Authenticate|LuxeLooks.Service.Services.RoleService.HandleError| body: 
2024-02-10 16:30:28.0589|0|INFO|Program|Program initial |url: |action: |Program.<Main>$| body: 
2024-02-10 16:30:28.5047|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5219 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync| body: 
2024-02-10 16:30:28.5047|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2024-02-10 16:30:28.5047|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2024-02-10 16:30:28.5047|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\5Sem\LuxeLooks\LuxeLooks\LuxeLooks\LuxeLooks |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2024-02-10 16:30:28.8557|0|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/swagger|action: |Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware.TryGetHttpsPort| body: 
2024-02-10 16:31:49.7521|0|ERROR|LuxeLooks.Service.Services.RoleService|Role with id: 44546e06-8719-4ad8-b88a-f271ae9d6abe not found |url: http://localhost/Account/Login|action: Authenticate|LuxeLooks.Service.Services.RoleService.HandleError| body: 
2024-02-10 16:32:25.0086|0|INFO|Program|Program initial |url: |action: |Program.<Main>$| body: 
2024-02-10 16:32:25.2597|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5219 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync| body: 
2024-02-10 16:32:25.2597|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2024-02-10 16:32:25.2597|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2024-02-10 16:32:25.2597|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\5Sem\LuxeLooks\LuxeLooks\LuxeLooks\LuxeLooks |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
